CONTROLE,PRODUTO,UNITARIO,QUANTIDADE,CUSTO
10001781,20,1.50,1.000,0.00
10001811,333,20.50,10.000,0.00
10001811,1597,30.00,2.000,0.00
10001812,1009,23.00,1.000,0.00
10001834,333,20.50,1.000,0.00
10001835,1110,45.00,1.000,0.00
10001835,1113,3.00,1.000,0.00
10001839,1010,3.80,1.000,0.00
10001841,1423,9.10,1.000,0.00
10001841,1447,3.70,1.000,0.00
10001841,1452,4.00,1.000,0.00
10001841,1451,3.10,1.000,0.00
10001841,1435,2.30,1.000,0.00
10001841,1436,2.90,3.000,0.00
10001841,1431,6.50,8.000,0.00
10001841,86,1.50,3.000,0.00
10001841,878,0.15,6.000,0.00
10001842,1456,3.40,1.000,0.00
10001843,1589,17.00,1.000,0.00
10001844,333,20.50,1.000,0.00
10001844,20,1.50,3.000,0.00
10001844,876,1.70,2.000,0.00
10001845,1236,5.00,1.000,0.00
10001846,1590,51.00,1.000,0.00
10001847,876,1.70,1.000,0.00
10001847,20,1.50,2.000,0.00
10001848,1158,11.00,1.000,0.00
10001849,333,20.50,1.000,0.00
10001849,326,4.50,1.000,0.00
10001849,20,1.50,10.000,0.00
10001850,93,3.50,1.000,0.00
10001850,1647,0.60,1.000,0.00
10001851,333,20.50,1.000,0.00
10002241,1596,12.00,1.000,0.00
10002242,71,8.00,1.000,0.00
10002244,20,1.50,50.000,0.00
10002244,333,20.50,5.000,0.00
10002244,197,0.80,25.000,0.00
10002244,198,1.60,5.000,0.00
10002244,269,0.40,50.000,0.00
10002244,765,6.50,5.000,0.00
10002244,632,20.00,1.000,0.00
10002405,1288,2.30,2.000,0.00
10002405,1361,0.60,1.000,0.00
10002405,1540,1.30,1.000,0.00
10002405,1392,0.70,2.000,0.00
10002405,1380,0.50,8.000,0.00
10002405,1326,5.00,2.000,0.00
10002405,1540,1.30,5.000,0.00
10002405,646,1.50,10.000,0.00
10002405,1351,0.40,1.000,0.00
10002405,1428,2.50,6.000,0.00
10002405,1417,2.50,2.000,0.00
10002405,1459,2.00,1.000,0.00
10002405,1520,6.00,1.000,0.00
10002405,1355,2.90,1.000,0.00
10002405,1406,2.10,1.000,0.00
10002405,1444,1.30,2.000,0.00
10002405,677,1.20,1.000,0.00
10002405,714,3.00,2.000,0.00
10002405,1352,0.40,1.000,0.00
10002405,1345,1.40,1.000,0.00
10002405,1375,0.40,1.000,0.00
10002405,1467,10.50,1.000,0.00
10002520,765,6.50,13.000,0.00
10002520,1241,2.00,10.000,0.00
10002553,1384,2.60,1.000,0.00
10002553,1364,2.90,1.000,0.00
10002720,1452,4.00,1.000,0.00
10002720,1450,1.45,2.000,0.00
10002720,1300,4.00,1.000,0.00
10002720,981,2.00,5.000,0.00
10002720,681,3.00,1.000,0.00
10002720,871,7.50,1.000,0.00
10002720,720,3.00,3.000,0.00
10002720,612,10.00,1.000,0.00
10002720,1773,1.00,3.000,0.00
10002720,167,0.10,10.000,0.00
10002720,165,0.10,10.000,0.00
10002720,71,8.00,2.000,0.00
10002802,765,6.50,20.000,0.00
10002803,134,6.50,1.000,0.00
10002857,1859,10.00,1.000,0.00
10002858,20,1.50,6.000,0.00
10002858,335,0.50,1.000,0.00
